1;1
2;0
3;1
4;1
5;0
6;0
7;1
8;2
9;2
10;1
11;1
12;0
13;0
14;2
15;1
16;2
17;1
18;1
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;2
27;0
28;2
29;2
30;0
31;0
32;2
33;1
34;2
35;0
36;2
37;1
38;0
39;0
40;2
41;1
42;0
43;1
44;2
45;2
46;1
47;0
48;0
49;0
50;0
51;2
52;2
53;2
54;2
55;1
56;1
57;2
58;2
59;0
60;0
61;1
62;2
63;0
64;2
65;1
66;1
67;2
68;2
69;0
70;1
71;2
72;1
73;1
74;0
75;1
76;2
77;1
78;1
79;0
80;1
81;1
82;0
83;2
84;2
85;2
86;0
87;0
88;2
89;2
90;2
91;1
92;1
93;0
94;1
95;2
96;1
97;1
98;1
99;2
100;2
